lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,no_of_adults,booking_status
188,0,90.95,8,26,4,3,2,0,2,0
20,0,139.0,7,11,4,4,1,3,1,0
36,2,96.3,10,21,4,4,0,0,2,1
77,1,116.1,5,7,4,1,0,3,2,1
32,0,85.0,7,18,3,1,1,0,1,1
1,0,0.0,8,14,1,2,1,0,2,1
35,1,129.0,10,28,4,2,1,0,2,1
19,1,149.0,9,24,4,1,0,3,2,0
39,1,97.4,11,15,4,5,2,0,2,1
72,1,140.4,5,1,4,1,2,0,2,0
39,0,101.5,8,14,3,2,0,1,2,1
37,0,95.0,10,13,3,3,0,0,1,1
57,0,101.52,9,21,3,2,0,0,2,1
192,1,94.5,8,9,4,3,0,0,2,0
76,1,98.5,4,24,3,3,2,1,1,1
6,0,88.92,3,22,4,5,0,3,2,1
40,0,106.9,9,4,4,5,2,0,0,0
0,0,75.0,3,7,3,2,1,0,1,1
30,1,96.9,11,15,4,4,0,0,2,0
173,0,121.5,8,15,4,1,1,0,2,0
152,1,114.3,8,6,4,1,0,0,2,0
0,0,79.0,2,6,4,1,0,0,1,1
93,0,90.95,4,15,4,1,0,0,2,1
15,0,65.0,2,2,2,1,0,0,1,1
69,0,126.9,6,17,4,2,1,0,2,1
108,1,97.0,12,24,4,3,2,3,2,0
36,0,102.0,12,26,4,3,1,0,2,0
44,0,75.0,2,17,3,3,0,0,2,1
79,1,87.3,3,28,4,2,1,0,2,1
152,2,114.63,7,21,4,5,2,0,2,0
68,0,58.0,9,29,3,2,0,1,1,1
10,1,112.33,6,21,4,3,0,3,2,1
336,0,78.0,9,21,3,4,1,0,2,1
9,1,149.0,10,6,4,2,0,3,2,1
1,0,75.0,11,29,3,1,0,0,1,1
224,1,90.95,8,21,4,3,2,0,2,1
134,0,94.5,5,17,4,3,0,3,2,0
44,1,102.6,10,2,4,0,2,3,1,1
1,0,67.0,6,1,2,1,0,0,1,1
40,0,128.1,6,27,4,2,1,0,2,0
47,0,103.28,4,1,4,2,2,0,2,1
11,1,124.33,6,21,4,3,0,0,2,1
113,0,100.0,5,31,2,3,0,0,1,0
89,1,127.8,7,14,4,2,0,0,2,0
22,0,140.0,5,20,3,2,0,0,2,1
159,0,187.85,5,26,4,3,0,0,1,0
3,0,127.8,4,29,3,1,0,0,1,1
18,2,121.0,6,8,4,2,0,0,2,1
31,1,225.4,8,25,4,1,0,0,3,1
42,0,144.23,8,29,4,3,1,0,3,0
112,1,120.0,6,2,4,3,0,0,2,0
49,0,91.44,2,22,3,5,2,0,2,0
91,0,75.0,9,30,3,2,1,0,1,1
15,0,111.0,12,3,4,1,0,0,2,1
1,0,81.0,12,14,4,0,1,0,1,1
102,0,58.0,3,25,3,2,2,0,2,1
134,0,65.0,12,4,3,2,2,0,2,1
34,0,59.0,1,26,2,1,0,0,1,1
209,1,81.77,4,25,4,2,1,0,2,1
14,0,82.4,3,16,3,1,0,0,1,1
0,1,73.0,12,5,4,1,1,0,2,1
1,1,106.2,9,29,4,1,0,0,2,1
50,2,97.2,10,9,4,0,1,3,2,1
115,0,76.0,2,27,3,3,2,0,1,1
39,0,109.0,8,14,3,2,0,1,2,1
311,2,9.0,11,10,1,2,0,0,2,1
99,2,141.75,7,18,4,3,1,1,2,1
20,0,65.0,10,11,2,1,2,0,1,1
112,1,117.9,8,16,4,2,0,0,2,1
57,0,118.8,4,22,4,2,0,0,2,0
301,1,115.0,7,30,3,1,1,1,2,0
