,Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
23595,INN23596,2,0,2,3,Meal Plan 1,0,Room_Type 1,188,2018,8,26,Online,0,0,0,90.95,0,Canceled
12126,INN12127,1,0,1,4,Not Selected,0,Room_Type 1,20,2018,7,11,Online,0,0,0,139.0,0,Canceled
6851,INN06852,2,0,0,4,Meal Plan 1,0,Room_Type 1,36,2017,10,21,Online,0,0,0,96.3,2,Not_Canceled
18231,INN18232,2,0,0,1,Not Selected,0,Room_Type 1,77,2018,5,7,Online,0,0,0,116.1,1,Not_Canceled
35816,INN35817,1,0,1,1,Meal Plan 1,0,Room_Type 1,32,2018,7,18,Offline,0,0,0,85.0,0,Not_Canceled
17718,INN17719,2,0,1,2,Meal Plan 1,0,Room_Type 2,1,2017,8,14,Complementary,0,0,0,0.0,0,Not_Canceled
25163,INN25164,2,0,1,2,Meal Plan 1,0,Room_Type 1,35,2018,10,28,Online,0,0,0,129.0,1,Not_Canceled
23344,INN23345,2,0,0,1,Not Selected,0,Room_Type 1,19,2018,9,24,Online,0,0,0,149.0,1,Canceled
33006,INN33007,2,0,2,5,Meal Plan 1,0,Room_Type 1,39,2018,11,15,Online,0,0,0,97.4,1,Not_Canceled
25329,INN25330,2,0,2,1,Meal Plan 1,0,Room_Type 4,72,2018,5,1,Online,0,0,0,140.4,1,Canceled
27640,INN27641,2,0,0,2,Meal Plan 2,0,Room_Type 1,39,2017,8,14,Offline,0,0,0,101.5,0,Not_Canceled
5233,INN05234,1,0,0,3,Meal Plan 1,0,Room_Type 1,37,2018,10,13,Offline,0,0,0,95.0,0,Not_Canceled
6997,INN06998,2,0,0,2,Meal Plan 1,0,Room_Type 1,57,2018,9,21,Offline,0,0,0,101.52,0,Not_Canceled
35566,INN35567,2,0,0,3,Meal Plan 1,0,Room_Type 1,192,2018,8,9,Online,0,0,0,94.5,1,Canceled
706,INN00707,1,1,2,3,Meal Plan 2,0,Room_Type 1,76,2018,4,24,Offline,0,0,0,98.5,1,Not_Canceled
